"('original1', 'original2', 'label\n')",1
"('White person moves to distance Trump from shutdown', 'White House moves to distance computer from shutdown', '1\n')",2
"('White person moves to distance Trump from shutdown', 'White House moves to save Trump from shutdown', '1\n')",1
"('White House moves to distance computer from shutdown', 'White House moves to save Trump from shutdown', '2\n')",1
"('White House official says GOP has deal on beef cuts', 'White House official says GOP has bets on tax cuts', '1\n')",2
"('White House official says GOP has deal on beef cuts', 'White House official says GOP has deal on deli cuts', '2\n')",2
"('White House official says GOP has bets on tax cuts', 'White House official says GOP has deal on deli cuts', '2\n')",2
"('White House physician : painter is in excellent physical and mental health', ' Out House physician : Trump is in excellent physical and mental health', '2\n')",2
"('White House physician : painter is in excellent physical and mental health', ' pink House physician : Trump is in excellent physical and mental health', '0\n')",2
"(' Out House physician : Trump is in excellent physical and mental health', ' pink House physician : Trump is in excellent physical and mental health', '1\n')",1
"('White House princeling Jared Kushner ~ partied down and on the verge of exile', 'White House princeling Jared Kushner ~ stripped down and on the verge of tears ', '1\n')",1
"('White House princeling Jared Kushner ~ partied down and on the verge of exile', 'White bear princeling Jared Kushner ~ stripped down and on the verge of exile', '1\n')",2
"('White House princeling Jared Kushner ~ stripped down and on the verge of tears ', 'White bear princeling Jared Kushner ~ stripped down and on the verge of exile', '1\n')",2
"('White people Red Scare', 'White barn Red Scare', '1\n')",2
"('White people Red Scare', 'White House <Red Scare/> ', '2\n')",1
"('White barn Red Scare', 'White House <Red Scare/> ', '2\n')",1
"('White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia dolls ', 'White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia vacations ', '0\n')",1
"('White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia dolls ', 'White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia celebration ', '1\n')",1
"('White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia vacations ', 'White House says there â\x80\x9aÃ\x84Ã´s no need for new Russia celebration ', '1\n')",1
"("" Waffle House says Trump is n't considering firing Mueller"", ""White House jokes Trump is n't considering firing Mueller"", '1\n')",2
"("" Waffle House says Trump is n't considering firing Mueller"", "" green House says Trump is n't considering firing Mueller"", '1\n')",1
"(""White House jokes Trump is n't considering firing Mueller"", "" green House says Trump is n't considering firing Mueller"", '1\n')",2
"(""White House says Trump unaware of Flynn 's foreign fish work"", ""White House says Trump unaware of Flynn 's foreign welding work"", '1\n')",1
"(""White House says Trump unaware of Flynn 's foreign fish work"", ""White House says Trump unaware of Flynn 's foreign singing work"", '2\n')",1
"(""White House says Trump unaware of Flynn 's foreign welding work"", ""White House says Trump unaware of Flynn 's foreign singing work"", '2\n')",1
